#: table_doi: 10.17182/hepdata.64354.v1/t3
#: name: Table 3
#: description: The measured normalized combined (electron and muon channels) cross section (1/SIG(FID))*D(SIG(FID))/DPT(Z) for 0 <= ABS(YRAP(Z)) < 1, 1 <= ABS(YRAP(Z)) < 2 and 2 <= ABS(YRAP(Z)) < 2.4. The cross sections at Born and dressed levels are given as well as the relative statistical and systematic uncertainties for uncorrelated and correlated sources.

#: data_file: Table3.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production | Muon production | Electron production
#: keyword cmenergies: 7000.0
#: ABS(YRAP(Z)),,,0.0-1.0
#: Level,,,Born
#: RE,,,P P --> (Z0 + GAMMA*) < E+ E- + MU+ MU- > X
#: SQRT(S) [GeV],,,7000.0
PT(Z) [GEV],PT(Z) [GEV] LOW,PT(Z) [GEV] HIGH,(1/SIG(FID))*D(SIG(FID))/DPT(Z) [1/GEV],stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -"
1.0,0.0,2.0,0.02861,0.37%,-0.37%,0.34%,-0.34%,0.36%,-0.36%
3.0,2.0,4.0,0.05874,0.23%,-0.23%,0.31%,-0.31%,0.34%,-0.34%
5.0,4.0,6.0,0.05834,0.23%,-0.23%,0.23%,-0.23%,0.35%,-0.35%
7.0,6.0,8.0,0.04972,0.26%,-0.26%,0.22%,-0.22%,0.34%,-0.34%
9.0,8.0,10.0,0.04106,0.28%,-0.28%,0.24%,-0.24%,0.34%,-0.34%
11.0,10.0,12.0,0.03385,0.31%,-0.31%,0.26%,-0.26%,0.35%,-0.35%
13.0,12.0,14.0,0.02819,0.35%,-0.35%,0.27%,-0.27%,0.34%,-0.34%
15.0,14.0,16.0,0.02375,0.37%,-0.37%,0.27%,-0.27%,0.35%,-0.35%
17.0,16.0,18.0,0.01997,0.42%,-0.42%,0.29%,-0.29%,0.35%,-0.35%
20.0,18.0,22.0,0.01587,0.35%,-0.35%,0.27%,-0.27%,0.34%,-0.34%
24.0,22.0,26.0,0.01187,0.41%,-0.41%,0.29%,-0.29%,0.35%,-0.35%
28.0,26.0,30.0,0.009065,0.46%,-0.46%,0.31%,-0.31%,0.35%,-0.35%
32.0,30.0,34.0,0.007143,0.53%,-0.53%,0.35%,-0.35%,0.35%,-0.35%
36.0,34.0,38.0,0.005707,0.59%,-0.59%,0.38%,-0.38%,0.34%,-0.34%
40.0,38.0,42.0,0.004559,0.66%,-0.66%,0.44%,-0.44%,0.35%,-0.35%
44.0,42.0,46.0,0.003757,0.73%,-0.73%,0.47%,-0.47%,0.35%,-0.35%
48.0,46.0,50.0,0.00315,0.79%,-0.79%,0.48%,-0.48%,0.38%,-0.38%
52.0,50.0,54.0,0.002584,0.88%,-0.88%,0.52%,-0.52%,0.36%,-0.36%
57.0,54.0,60.0,0.002052,0.81%,-0.81%,0.48%,-0.48%,0.37%,-0.37%
65.0,60.0,70.0,0.001466,0.73%,-0.73%,0.46%,-0.46%,0.39%,-0.39%
75.0,70.0,80.0,0.0009646,0.92%,-0.92%,0.55%,-0.55%,0.43%,-0.43%
90.0,80.0,100.0,0.0005458,0.83%,-0.83%,0.53%,-0.53%,0.47%,-0.47%
125.0,100.0,150.0,0.0001874,0.83%,-0.83%,0.54%,-0.54%,0.57%,-0.57%
175.0,150.0,200.0,4.826e-05,1.67%,-1.67%,0.74%,-0.74%,0.51%,-0.51%
250.0,200.0,300.0,1.126e-05,2.38%,-2.38%,1.4%,-1.4%,1.43%,-1.43%
550.0,300.0,800.0,4.783e-07,5.02%,-5.02%,2.0%,-2.0%,1.5%,-1.5%

#: ABS(YRAP(Z)),,,
#: Level,,,Dressed
#: RE,,,P P --> (Z0 + GAMMA*) < E+ E- + MU+ MU- > X
#: SQRT(S) [GeV],,,7000.0
PT(Z) [GEV],PT(Z) [GEV] LOW,PT(Z) [GEV] HIGH,(1/SIG(FID))*D(SIG(FID))/DPT(Z) [1/GEV],stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -"
1.0,0.0,2.0,0.02792,0.37%,-0.37%,0.34%,-0.34%,0.36%,-0.36%
3.0,2.0,4.0,0.05763,0.23%,-0.23%,0.31%,-0.31%,0.34%,-0.34%
5.0,4.0,6.0,0.05784,0.23%,-0.23%,0.23%,-0.23%,0.35%,-0.35%
7.0,6.0,8.0,0.04974,0.26%,-0.26%,0.22%,-0.22%,0.34%,-0.34%
9.0,8.0,10.0,0.04134,0.28%,-0.28%,0.24%,-0.24%,0.34%,-0.34%
11.0,10.0,12.0,0.03424,0.31%,-0.31%,0.26%,-0.26%,0.35%,-0.35%
13.0,12.0,14.0,0.02859,0.35%,-0.35%,0.27%,-0.27%,0.34%,-0.34%
15.0,14.0,16.0,0.02412,0.37%,-0.37%,0.27%,-0.27%,0.35%,-0.35%
17.0,16.0,18.0,0.02028,0.42%,-0.42%,0.29%,-0.29%,0.35%,-0.35%
20.0,18.0,22.0,0.01609,0.35%,-0.35%,0.27%,-0.27%,0.34%,-0.34%
24.0,22.0,26.0,0.01199,0.41%,-0.41%,0.29%,-0.29%,0.35%,-0.35%
28.0,26.0,30.0,0.009113,0.46%,-0.46%,0.31%,-0.31%,0.35%,-0.35%
32.0,30.0,34.0,0.007165,0.53%,-0.53%,0.35%,-0.35%,0.35%,-0.35%
36.0,34.0,38.0,0.005707,0.59%,-0.59%,0.38%,-0.38%,0.34%,-0.34%
40.0,38.0,42.0,0.004554,0.66%,-0.66%,0.44%,-0.44%,0.35%,-0.35%
44.0,42.0,46.0,0.003747,0.73%,-0.73%,0.47%,-0.47%,0.35%,-0.35%
48.0,46.0,50.0,0.00314,0.79%,-0.79%,0.48%,-0.48%,0.38%,-0.38%
52.0,50.0,54.0,0.002575,0.88%,-0.88%,0.52%,-0.52%,0.36%,-0.36%
57.0,54.0,60.0,0.00204,0.81%,-0.81%,0.48%,-0.48%,0.37%,-0.37%
65.0,60.0,70.0,0.001457,0.73%,-0.73%,0.46%,-0.46%,0.39%,-0.39%
75.0,70.0,80.0,0.0009557,0.92%,-0.92%,0.55%,-0.55%,0.43%,-0.43%
90.0,80.0,100.0,0.0005413,0.83%,-0.83%,0.53%,-0.53%,0.47%,-0.47%
125.0,100.0,150.0,0.0001859,0.83%,-0.83%,0.54%,-0.54%,0.57%,-0.57%
175.0,150.0,200.0,4.794e-05,1.67%,-1.67%,0.74%,-0.74%,0.51%,-0.51%
250.0,200.0,300.0,1.124e-05,2.38%,-2.38%,1.4%,-1.4%,1.43%,-1.43%
550.0,300.0,800.0,4.768e-07,5.02%,-5.02%,2.0%,-2.0%,1.5%,-1.5%

#: ABS(YRAP(Z)),,,1.0-2.0
#: Level,,,Born
#: RE,,,P P --> (Z0 + GAMMA*) < E+ E- + MU+ MU- > X
#: SQRT(S) [GeV],,,7000.0
PT(Z) [GEV],PT(Z) [GEV] LOW,PT(Z) [GEV] HIGH,(1/SIG(FID))*D(SIG(FID))/DPT(Z) [1/GEV],stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -"
1.0,0.0,2.0,0.02781,0.42%,-0.42%,0.48%,-0.48%,0.37%,-0.37%
3.0,2.0,4.0,0.05802,0.26%,-0.26%,0.39%,-0.39%,0.35%,-0.35%
5.0,4.0,6.0,0.05782,0.25%,-0.25%,0.27%,-0.27%,0.39%,-0.39%
7.0,6.0,8.0,0.04868,0.28%,-0.28%,0.27%,-0.27%,0.38%,-0.38%
9.0,8.0,10.0,0.04047,0.31%,-0.31%,0.3%,-0.3%,0.34%,-0.34%
11.0,10.0,12.0,0.03381,0.34%,-0.34%,0.32%,-0.32%,0.34%,-0.34%
13.0,12.0,14.0,0.02823,0.38%,-0.38%,0.32%,-0.32%,0.35%,-0.35%
15.0,14.0,16.0,0.02385,0.4%,-0.4%,0.32%,-0.32%,0.34%,-0.34%
