#: table_doi: 10.17182/hepdata.71339.v1/t24
#: name: Table 24
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 20 \textrm{ GeV} \leq m_{\ell\ell} <  30 \textrm{ GeV},\ 0.0 \leq |y_{\ell\ell}| < 2.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table24.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02771,2.3%,-2.3%,0.9%,-0.9%,2.2%,-2.2%
60.0,55.0,65.0,0.02081,2.7%,-2.7%,1.4%,-1.4%,1.8%,-1.8%
70.0,65.0,75.0,0.01441,3.1%,-3.1%,1.3%,-1.3%,2.3%,-2.3%
80.0,75.0,85.0,0.01048,3.7%,-3.7%,1.7%,-1.7%,3.1%,-3.1%
95.0,85.0,105.0,0.006007,3.0%,-3.0%,1.4%,-1.4%,3.4%,-3.4%
127.5,105.0,150.0,0.002236,3.0%,-3.0%,1.4%,-1.4%,3.9%,-3.9%
175.0,150.0,200.0,0.0005916,5.1%,-5.1%,2.4%,-2.4%,4.8%,-4.8%
550.0,200.0,900.0,2.228e-05,7.0%,-7.0%,2.8%,-2.8%,5.4%,-5.4%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02745,2.3%,-2.3%,0.9%,-0.9%,2.4%,-2.4%
60.0,55.0,65.0,0.02085,2.7%,-2.7%,1.4%,-1.4%,1.8%,-1.8%
70.0,65.0,75.0,0.01447,3.1%,-3.1%,1.3%,-1.3%,2.3%,-2.3%
80.0,75.0,85.0,0.01052,3.7%,-3.7%,1.7%,-1.7%,3.1%,-3.1%
95.0,85.0,105.0,0.006029,3.0%,-3.0%,1.4%,-1.4%,3.4%,-3.4%
127.5,105.0,150.0,0.002247,3.0%,-3.0%,1.4%,-1.4%,3.9%,-3.9%
175.0,150.0,200.0,0.0005999,5.1%,-5.1%,2.4%,-2.4%,5.6%,-5.6%
550.0,200.0,900.0,2.208e-05,7.0%,-7.0%,2.8%,-2.8%,6.2%,-6.2%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel bare,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02775,1.6%,-1.6%,0.6%,-0.6%,1.1%,-1.1%
60.0,55.0,65.0,0.02122,1.9%,-1.9%,0.7%,-0.7%,0.9%,-0.9%
70.0,65.0,75.0,0.01475,2.4%,-2.4%,1.0%,-1.0%,1.5%,-1.5%
80.0,75.0,85.0,0.01012,2.9%,-2.9%,1.3%,-1.3%,2.0%,-2.0%
95.0,85.0,105.0,0.006245,2.5%,-2.5%,1.2%,-1.2%,1.9%,-1.9%
127.5,105.0,150.0,0.002176,2.7%,-2.7%,1.0%,-1.0%,2.1%,-2.1%
175.0,150.0,200.0,0.0005085,5.3%,-5.3%,2.3%,-2.3%,3.2%,-3.2%
550.0,200.0,900.0,1.924e-05,6.9%,-6.9%,2.7%,-2.7%,3.4%,-3.4%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02766,1.6%,-1.6%,0.6%,-0.6%,1.1%,-1.1%
60.0,55.0,65.0,0.02114,1.9%,-1.9%,0.7%,-0.7%,0.9%,-0.9%
70.0,65.0,75.0,0.0148,2.4%,-2.4%,1.0%,-1.0%,1.5%,-1.5%
80.0,75.0,85.0,0.0101,2.9%,-2.9%,1.3%,-1.3%,2.0%,-2.0%
95.0,85.0,105.0,0.00624,2.5%,-2.5%,1.2%,-1.2%,1.9%,-1.9%
127.5,105.0,150.0,0.002201,2.7%,-2.7%,1.0%,-1.0%,2.1%,-2.1%
175.0,150.0,200.0,0.0005107,5.3%,-5.3%,2.3%,-2.3%,3.2%,-3.2%
550.0,200.0,900.0,1.947e-05,6.9%,-6.9%,2.7%,-2.7%,3.4%,-3.4%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.0275,1.6%,-1.6%,0.6%,-0.6%,1.4%,-1.4%
60.0,55.0,65.0,0.02134,1.9%,-1.9%,0.7%,-0.7%,1.3%,-1.3%
70.0,65.0,75.0,0.01479,2.4%,-2.4%,1.0%,-1.0%,1.6%,-1.6%
80.0,75.0,85.0,0.01014,2.9%,-2.9%,1.3%,-1.3%,2.0%,-2.0%
95.0,85.0,105.0,0.006245,2.5%,-2.5%,1.2%,-1.2%,2.0%,-2.0%
