#: table_doi: 10.17182/hepdata.71339.v1/t28
#: name: Table 28
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 116 \textrm{ GeV} \leq m_{\ell\ell} < 150 \textrm{ GeV},\ 0.0 \leq |y_{\ell\ell}| < 2.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table28.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02181,3.0%,-3.0%,1.3%,-1.3%,4.4%,-4.4%
3.0,2.0,4.0,0.04492,1.9%,-1.9%,0.9%,-0.9%,1.8%,-1.8%
5.0,4.0,6.0,0.04604,1.9%,-1.9%,0.9%,-0.9%,1.4%,-1.4%
7.0,6.0,8.0,0.04296,1.9%,-1.9%,0.9%,-0.9%,1.3%,-1.3%
9.0,8.0,10.0,0.0385,2.1%,-2.1%,1.0%,-1.0%,1.4%,-1.4%
11.5,10.0,13.0,0.03035,1.9%,-1.9%,0.9%,-0.9%,1.2%,-1.2%
14.5,13.0,16.0,0.02439,2.2%,-2.2%,0.9%,-0.9%,1.4%,-1.4%
18.0,16.0,20.0,0.01889,2.0%,-2.0%,0.9%,-0.9%,1.4%,-1.4%
22.5,20.0,25.0,0.01479,1.9%,-1.9%,0.9%,-0.9%,1.3%,-1.3%
27.5,25.0,30.0,0.01076,2.3%,-2.3%,1.0%,-1.0%,1.5%,-1.5%
33.5,30.0,37.0,0.007884,2.3%,-2.3%,1.2%,-1.2%,1.6%,-1.6%
