#: table_doi: 10.17182/hepdata.77221.v2/t2
#: name: Table 2
#: description: Normalized fiducial differential cross sections of W+ boson and W- boson decaying to muon and neutrino at pre-FSR level.
#: data_file: WtoMuNu.yaml
#: keyword reactions: P P --> W X
#: keyword observables: DSIG/DPT
#: keyword cmenergies: 8000
#: RE,,,P P --> W X
PT(W) [GEV],PT(W) [GEV] LOW,PT(W) [GEV] HIGH,(1/SIG)*DSIG/DPT(W)(fiducial) [GEV**1],error +,error -
3.75,0.0,7.5,0.0487509,0.000620294,-0.000620294
10.0,7.5,12.5,0.0416289,0.000871954,-0.000871954
15.0,12.5,17.5,0.023727,0.000397716,-0.000397716
20.75,17.5,24.0,0.014282,0.000199594,-0.000199594
27.0,24.0,30.0,0.00925199,0.0001584,-0.0001584
35.0,30.0,40.0,0.0059122,0.000117957,-0.000117957
45.0,40.0,50.0,0.00350221,6.71448e-05,-6.71448e-05
60.0,50.0,70.0,0.00177224,4.15344e-05,-4.15344e-05
90.0,70.0,110.0,0.000538579,1.60067e-05,-1.60067e-05
130.0,110.0,150.0,0.00012969,7.84054e-06,-7.84054e-06
170.0,150.0,190.0,4.20519e-05,3.59853e-06,-3.59853e-06
220.0,190.0,250.0,1.40076e-05,1.94479e-06,-1.94479e-06
425.0,250.0,600.0,1.14773e-06,2.33309e-07,-2.33309e-07

