#: table_doi: 10.17182/hepdata.91215.v2/t105
#: name: Auxiliary Figures 16 to 20
#: description: The measured normalized cross sections (left) in bins of Z pt in |y(Z)| bins, using born level leptons. The first bin (0-1 GeV) is not shown as large differences were observed in aMC@NLO and POWHEG predictions at Born level. The cross sections are divided by the bin width and then the distributions are normalized to 1.
#: data_file: auxiliary_figures_16_to_20.yaml
#: keyword observables: N
$p_{T}$ [GeV],Normalized dilepton cross section in 0 < |y(Z)| < 0.4, +, -
1.5,0.049761,0.00062039,-0.00062039
2.5,0.065975,0.00084715,-0.00084715
3.5,0.07537,0.00095598,-0.00095598
4.5,0.07694,0.00096009,-0.00096009
5.5,0.07386,0.0009169,-0.0009169
6.5,0.069785,0.00086506,-0.00086506
7.5,0.065241,0.00080528,-0.00080528
8.5,0.060728,0.00074756,-0.00074756
9.5,0.05581,0.00068757,-0.00068757
10.5,0.050822,0.0006277,-0.0006277
11.5,0.046804,0.0005768,-0.0005768
12.5,0.043911,0.00053952,-0.00053952
13.5,0.040949,0.0005047,-0.0005047
15.0,0.035321,0.00043221,-0.00043221
17.0,0.030841,0.00037117,-0.00037117
19.0,0.02635,0.00031292,-0.00031292
21.0,0.02313,0.00026696,-0.00026696
23.5,0.019425,0.00021549,-0.00021549
26.5,0.016179,0.00017389,-0.00017389
30.0,0.012855,0.00013449,-0.00013449
34.5,0.010168,0.00010522,-0.00010522
40.0,0.0076587,7.9405e-05,-7.9405e-05
47.5,0.0053112,5.5096e-05,-5.5096e-05
58.5,0.0032375,3.4e-05,-3.4e-05
75.0,0.0016793,1.8409e-05,-1.8409e-05
102.5,0.00071839,8.5785e-06,-8.5785e-06
140.0,0.00026624,3.6692e-06,-3.6692e-06
175.0,0.00011566,1.9065e-06,-1.9065e-06
205.0,6.1559e-05,1.2172e-06,-1.2172e-06
235.0,3.4571e-05,8.0613e-07,-8.0613e-07
275.0,1.8175e-05,4.7481e-07,-4.7481e-07
350.0,6.2427e-06,1.8023e-07,-1.8023e-07
950.0,2.5672e-07,8.435e-09,-8.435e-09

$p_{T}$ [GeV],Normalized dilepton cross section in 0.4 < |y(Z)| < 0.8, +, -
1.5,0.0503,0.001269,-0.001269
2.5,0.066491,0.0015068,-0.0015068
3.5,0.074829,0.0014972,-0.0014972
4.5,0.077429,0.0013888,-0.0013888
5.5,0.074366,0.0012155,-0.0012155
6.5,0.069356,0.0010542,-0.0010542
7.5,0.065302,0.00094094,-0.00094094
8.5,0.060643,0.00085292,-0.00085292
9.5,0.055681,0.00078492,-0.00078492
10.5,0.050822,0.00071262,-0.00071262
11.5,0.046565,0.00062763,-0.00062763
12.5,0.044274,0.00056482,-0.00056482
13.5,0.041084,0.00051248,-0.00051248
15.0,0.035292,0.00043994,-0.00043994
17.0,0.030923,0.00038177,-0.00038177
19.0,0.026452,0.00031816,-0.00031816
21.0,0.022521,0.00026195,-0.00026195
23.5,0.019566,0.00022155,-0.00022155
26.5,0.016033,0.00017883,-0.00017883
30.0,0.013186,0.00014545,-0.00014545
34.5,0.010077,0.00010906,-0.00010906
40.0,0.00753,7.9379e-05,-7.9379e-05
47.5,0.0053022,5.5931e-05,-5.5931e-05
58.5,0.0031955,3.5347e-05,-3.5347e-05
75.0,0.0016626,1.9581e-05,-1.9581e-05
102.5,0.00071142,9.1503e-06,-9.1503e-06
140.0,0.00026046,3.9073e-06,-3.9073e-06
175.0,0.00011221,2.0401e-06,-2.0401e-06
205.0,6.1184e-05,1.3411e-06,-1.3411e-06
235.0,3.4911e-05,8.8138e-07,-8.8138e-07
