#: table_doi: 10.17182/hepdata.91215.v2/t33
#: name: Figures 15 to 19
#: description: The measured normalized cross sections in bins of Z pt in |y(Z)| bins, using dressed level leptons. The cross sections are divided by the bin width and then the distributions are normalized to 1.
#: data_file: figures_15_to_19.yaml
#: keyword observables: N
$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,Normalized dilepton cross section in 0 < |y(Z)| < 0.4, +, -
0.5,0,1.0,0.019156,0.00026899,-0.00026899
1.5,1.0,2.0,0.048231,0.00067723,-0.00067723
2.5,2.0,3.0,0.067494,0.00091755,-0.00091755
3.5,3.0,4.0,0.076383,0.0009721,-0.0009721
4.5,4.0,5.0,0.077921,0.00095902,-0.00095902
5.5,5.0,6.0,0.075033,0.00092348,-0.00092348
6.5,6.0,7.0,0.070797,0.00087614,-0.00087614
7.5,7.0,8.0,0.066075,0.0008273,-0.0008273
8.5,8.0,9.0,0.061657,0.00077424,-0.00077424
9.5,9.0,10.0,0.056674,0.00070033,-0.00070033
10.5,10.0,11.0,0.051766,0.00062615,-0.00062615
11.5,11.0,12.0,0.047527,0.00056835,-0.00056835
12.5,12.0,13.0,0.044607,0.00053012,-0.00053012
13.5,13.0,14.0,0.041302,0.00048897,-0.00048897
15.0,14.0,16.0,0.036074,0.00042591,-0.00042591
17.0,16.0,18.0,0.030832,0.00036234,-0.00036234
19.0,18.0,20.0,0.026924,0.00031349,-0.00031349
21.0,20.0,22.0,0.023282,0.00026679,-0.00026679
23.5,22.0,25.0,0.019566,0.00022129,-0.00022129
26.5,25.0,28.0,0.01638,0.00018213,-0.00018213
30.0,28.0,32.0,0.012958,0.00013954,-0.00013954
34.5,32.0,37.0,0.01025,0.00010692,-0.00010692
40.0,37.0,43.0,0.0076318,7.8134e-05,-7.8134e-05
47.5,43.0,52.0,0.0053195,5.4038e-05,-5.4038e-05
58.5,52.0,65.0,0.0032399,3.3307e-05,-3.3307e-05
75.0,65.0,85.0,0.0016858,1.8197e-05,-1.8197e-05
102.5,85.0,120.0,0.0007235,8.5341e-06,-8.5341e-06
140.0,120.0,160.0,0.00026906,3.6807e-06,-3.6807e-06
175.0,160.0,190.0,0.00011723,1.9127e-06,-1.9127e-06
205.0,190.0,220.0,6.2357e-05,1.2056e-06,-1.2056e-06
235.0,220.0,250.0,3.5199e-05,7.9552e-07,-7.9552e-07
275.0,250.0,300.0,1.8479e-05,4.6897e-07,-4.6897e-07
350.0,300.0,400.0,6.3608e-06,1.8589e-07,-1.8589e-07
950.0,400.0,1500.0,2.6314e-07,9.346e-09,-9.346e-09

$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,Normalized dilepton cross section in 0.4 < |y(Z)| < 0.8, +, -
0.5,0,1.0,0.019263,0.00053379,-0.00053379
1.5,1.0,2.0,0.048473,0.0012096,-0.0012096
2.5,2.0,3.0,0.067705,0.0015042,-0.0015042
3.5,3.0,4.0,0.076066,0.0014776,-0.0014776
4.5,4.0,5.0,0.078099,0.0013764,-0.0013764
5.5,5.0,6.0,0.075351,0.0012406,-0.0012406
6.5,6.0,7.0,0.070669,0.0010886,-0.0010886
7.5,7.0,8.0,0.066248,0.00097024,-0.00097024
8.5,8.0,9.0,0.061239,0.00087062,-0.00087062
9.5,9.0,10.0,0.056738,0.00078525,-0.00078525
10.5,10.0,11.0,0.051818,0.00070023,-0.00070023
11.5,11.0,12.0,0.047596,0.00063438,-0.00063438
12.5,12.0,13.0,0.044534,0.00058884,-0.00058884
13.5,13.0,14.0,0.041549,0.00053966,-0.00053966
15.0,14.0,16.0,0.035695,0.00044948,-0.00044948
17.0,16.0,18.0,0.031277,0.00038342,-0.00038342
19.0,18.0,20.0,0.026723,0.00031732,-0.00031732
21.0,20.0,22.0,0.02274,0.0002608,-0.0002608
23.5,22.0,25.0,0.019823,0.00022066,-0.00022066
26.5,25.0,28.0,0.016127,0.00017597,-0.00017597
30.0,28.0,32.0,0.013176,0.00014145,-0.00014145
34.5,32.0,37.0,0.010139,0.00010644,-0.00010644
40.0,37.0,43.0,0.0075564,7.8243e-05,-7.8243e-05
47.5,43.0,52.0,0.0053095,5.6095e-05,-5.6095e-05
58.5,52.0,65.0,0.0032032,3.5772e-05,-3.5772e-05
75.0,65.0,85.0,0.0016693,1.9783e-05,-1.9783e-05
102.5,85.0,120.0,0.00071517,9.2013e-06,-9.2013e-06
140.0,120.0,160.0,0.00026298,3.9353e-06,-3.9353e-06
175.0,160.0,190.0,0.00011349,2.0496e-06,-2.0496e-06
205.0,190.0,220.0,6.2119e-05,1.3546e-06,-1.3546e-06
235.0,220.0,250.0,3.5517e-05,8.9084e-07,-8.9084e-07
275.0,250.0,300.0,1.8e-05,4.9527e-07,-4.9527e-07
350.0,300.0,400.0,6.4047e-06,2.0786e-07,-2.0786e-07
950.0,400.0,1500.0,2.5476e-07,1.0514e-08,-1.0514e-08

$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,Normalized dilepton cross section in 0.8 < |y(Z)| < 1.2, +, -
