#: table_doi: 10.17182/hepdata.91215.v2/t29
#: name: Figures 9 to 13
#: description: The measured absolute cross sections in bins of Z pt different |y(Z)| bins, using dressed level leptons. The cross sections are normalized by the bin width.
#: data_file: figures_9_to_13.yaml
#: keyword observables: N
$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,Dilepton cross section (pb) in 0 < |y(Z)| < 0.4 bin, +, -
0.5,0,1.0,1.9795,0.05423,-0.05423
1.5,1.0,2.0,4.9839,0.13321,-0.13321
2.5,2.0,3.0,6.9745,0.18385,-0.18385
3.5,3.0,4.0,7.8931,0.20766,-0.20766
4.5,4.0,5.0,8.052,0.21216,-0.21216
5.5,5.0,6.0,7.7536,0.20417,-0.20417
6.5,6.0,7.0,7.3159,0.1921,-0.1921
7.5,7.0,8.0,6.8279,0.17874,-0.17874
8.5,8.0,9.0,6.3714,0.16656,-0.16656
9.5,9.0,10.0,5.8565,0.15314,-0.15314
10.5,10.0,11.0,5.3493,0.13991,-0.13991
11.5,11.0,12.0,4.9112,0.12859,-0.12859
12.5,12.0,13.0,4.6095,0.121,-0.121
13.5,13.0,14.0,4.268,0.11225,-0.11225
15.0,14.0,16.0,3.7277,0.097994,-0.097994
17.0,16.0,18.0,3.1861,0.083682,-0.083682
19.0,18.0,20.0,2.7822,0.073143,-0.073143
21.0,20.0,22.0,2.4059,0.063404,-0.063404
23.5,22.0,25.0,2.0219,0.053459,-0.053459
26.5,25.0,28.0,1.6927,0.044934,-0.044934
30.0,28.0,32.0,1.3391,0.035781,-0.035781
34.5,32.0,37.0,1.0592,0.028554,-0.028554
40.0,37.0,43.0,0.78864,0.021415,-0.021415
47.5,43.0,52.0,0.54969,0.014971,-0.014971
58.5,52.0,65.0,0.33479,0.0091384,-0.0091384
75.0,65.0,85.0,0.1742,0.0048119,-0.0048119
102.5,85.0,120.0,0.074764,0.0021231,-0.0021231
140.0,120.0,160.0,0.027804,0.00082569,-0.00082569
175.0,160.0,190.0,0.012114,0.00037882,-0.00037882
205.0,190.0,220.0,0.0064437,0.00021373,-0.00021373
235.0,220.0,250.0,0.0036373,0.00012859,-0.00012859
275.0,250.0,300.0,0.0019095,7.1194e-05,-7.1194e-05
350.0,300.0,400.0,0.00065729,2.6309e-05,-2.6309e-05
950.0,400.0,1500.0,2.7191e-05,1.208e-06,-1.208e-06

$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,Dilepton cross section (pb) in 0.4 < |y(Z)| < 0.8 bin, +, -
0.5,0,1.0,1.9775,0.079918,-0.079918
1.5,1.0,2.0,4.9763,0.17705,-0.17705
2.5,2.0,3.0,6.9507,0.22544,-0.22544
3.5,3.0,4.0,7.809,0.23879,-0.23879
4.5,4.0,5.0,8.0177,0.23444,-0.23444
5.5,5.0,6.0,7.7357,0.22109,-0.22109
6.5,6.0,7.0,7.255,0.20504,-0.20504
7.5,7.0,8.0,6.8012,0.18895,-0.18895
8.5,8.0,9.0,6.2869,0.17186,-0.17186
9.5,9.0,10.0,5.8249,0.15729,-0.15729
10.5,10.0,11.0,5.3198,0.14282,-0.14282
11.5,11.0,12.0,4.8863,0.13071,-0.13071
12.5,12.0,13.0,4.5719,0.1216,-0.1216
13.5,13.0,14.0,4.2655,0.11308,-0.11308
15.0,14.0,16.0,3.6645,0.09708,-0.09708
17.0,16.0,18.0,3.211,0.085157,-0.085157
19.0,18.0,20.0,2.7435,0.072877,-0.072877
21.0,20.0,22.0,2.3345,0.062088,-0.062088
23.5,22.0,25.0,2.035,0.054194,-0.054194
26.5,25.0,28.0,1.6556,0.044166,-0.044166
30.0,28.0,32.0,1.3527,0.036232,-0.036232
34.5,32.0,37.0,1.0409,0.028091,-0.028091
40.0,37.0,43.0,0.77575,0.021188,-0.021188
47.5,43.0,52.0,0.54508,0.015123,-0.015123
58.5,52.0,65.0,0.32884,0.0092266,-0.0092266
75.0,65.0,85.0,0.17137,0.0048544,-0.0048544
102.5,85.0,120.0,0.073421,0.0021375,-0.0021375
140.0,120.0,160.0,0.026998,0.00082766,-0.00082766
175.0,160.0,190.0,0.011652,0.00038128,-0.00038128
205.0,190.0,220.0,0.0063773,0.00022472,-0.00022472
235.0,220.0,250.0,0.0036463,0.00013666,-0.00013666
275.0,250.0,300.0,0.0018479,7.2623e-05,-7.2623e-05
350.0,300.0,400.0,0.00065752,2.8282e-05,-2.8282e-05
950.0,400.0,1500.0,2.6154e-05,1.2933e-06,-1.2933e-06

$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,Dilepton cross section (pb) in 0.8 < |y(Z)| < 1.2 bin, +, -
0.5,0,1.0,2.0328,0.075446,-0.075446
1.5,1.0,2.0,4.8529,0.16752,-0.16752
2.5,2.0,3.0,6.8736,0.22618,-0.22618
3.5,3.0,4.0,7.7889,0.2497,-0.2497
4.5,4.0,5.0,7.9293,0.24893,-0.24893
5.5,5.0,6.0,7.6276,0.23429,-0.23429
6.5,6.0,7.0,7.1627,0.21561,-0.21561
7.5,7.0,8.0,6.667,0.19736,-0.19736
8.5,8.0,9.0,6.1639,0.18001,-0.18001
9.5,9.0,10.0,5.6779,0.16395,-0.16395
10.5,10.0,11.0,5.2489,0.15044,-0.15044
11.5,11.0,12.0,4.8175,0.13726,-0.13726
12.5,12.0,13.0,4.4458,0.12562,-0.12562
13.5,13.0,14.0,4.0695,0.11433,-0.11433
15.0,14.0,16.0,3.6156,0.1012,-0.1012
17.0,16.0,18.0,3.0817,0.085801,-0.085801
19.0,18.0,20.0,2.6939,0.074562,-0.074562
21.0,20.0,22.0,2.3229,0.063945,-0.063945
23.5,22.0,25.0,1.9579,0.053638,-0.053638
26.5,25.0,28.0,1.6177,0.044086,-0.044086
30.0,28.0,32.0,1.3094,0.035655,-0.035655
34.5,32.0,37.0,1.0237,0.028117,-0.028117
40.0,37.0,43.0,0.75563,0.020984,-0.020984
47.5,43.0,52.0,0.52426,0.014721,-0.014721
58.5,52.0,65.0,0.31435,0.0089477,-0.0089477
75.0,65.0,85.0,0.16611,0.0048243,-0.0048243
102.5,85.0,120.0,0.071311,0.0021617,-0.0021617
140.0,120.0,160.0,0.026315,0.00084926,-0.00084926
175.0,160.0,190.0,0.011178,0.00038301,-0.00038301
205.0,190.0,220.0,0.0060252,0.00021957,-0.00021957
235.0,220.0,250.0,0.0034713,0.00013387,-0.00013387
275.0,250.0,300.0,0.0017671,7.1405e-05,-7.1405e-05
350.0,300.0,400.0,0.00058301,2.5771e-05,-2.5771e-05
950.0,400.0,1500.0,2.4251e-05,1.2332e-06,-1.2332e-06

$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,Dilepton cross section (pb) in 1.2 < |y(Z)| < 1.6 bin, +, -
0.5,0,1.0,1.8655,0.14917,-0.14917
1.5,1.0,2.0,4.2363,0.26103,-0.26103
2.5,2.0,3.0,6.0177,0.29609,-0.29609
3.5,3.0,4.0,6.8909,0.28027,-0.28027
4.5,4.0,5.0,7.0612,0.25942,-0.25942
5.5,5.0,6.0,6.8257,0.24343,-0.24343
6.5,6.0,7.0,6.4344,0.22119,-0.22119
7.5,7.0,8.0,6.016,0.20089,-0.20089
8.5,8.0,9.0,5.5664,0.1836,-0.1836
9.5,9.0,10.0,5.1346,0.16759,-0.16759
10.5,10.0,11.0,4.7215,0.15096,-0.15096
11.5,11.0,12.0,4.366,0.13687,-0.13687
12.5,12.0,13.0,4.0366,0.12578,-0.12578
13.5,13.0,14.0,3.7321,0.11564,-0.11564
15.0,14.0,16.0,3.3122,0.10137,-0.10137
17.0,16.0,18.0,2.8102,0.084984,-0.084984
19.0,18.0,20.0,2.4711,0.074088,-0.074088
21.0,20.0,22.0,2.1266,0.063218,-0.063218
23.5,22.0,25.0,1.7892,0.052696,-0.052696
26.5,25.0,28.0,1.4607,0.042976,-0.042976
30.0,28.0,32.0,1.1841,0.035001,-0.035001
34.5,32.0,37.0,0.93197,0.027351,-0.027351
40.0,37.0,43.0,0.68534,0.019854,-0.019854
47.5,43.0,52.0,0.47591,0.01381,-0.01381
58.5,52.0,65.0,0.27908,0.0081896,-0.0081896
75.0,65.0,85.0,0.14477,0.0043438,-0.0043438
102.5,85.0,120.0,0.06385,0.0019928,-0.0019928
140.0,120.0,160.0,0.023849,0.00079459,-0.00079459
175.0,160.0,190.0,0.010195,0.00036873,-0.00036873
205.0,190.0,220.0,0.0057333,0.00022624,-0.00022624
235.0,220.0,250.0,0.003139,0.00013555,-0.00013555
275.0,250.0,300.0,0.0015699,7.2775e-05,-7.2775e-05
350.0,300.0,400.0,0.00053812,2.6633e-05,-2.6633e-05
950.0,400.0,1500.0,1.8942e-05,1.0205e-06,-1.0205e-06

$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,Dilepton cross section (pb) in 1.6 < |y(Z)| < 2.4 bin, +, -
0.5,0,1.0,1.5661,0.077255,-0.077255
1.5,1.0,2.0,3.6031,0.16733,-0.16733
2.5,2.0,3.0,5.1442,0.22769,-0.22769
3.5,3.0,4.0,5.8991,0.25192,-0.25192
4.5,4.0,5.0,5.8178,0.24105,-0.24105
5.5,5.0,6.0,5.6521,0.22706,-0.22706
6.5,6.0,7.0,5.4233,0.2115,-0.2115
7.5,7.0,8.0,4.9622,0.1886,-0.1886
8.5,8.0,9.0,4.6802,0.17387,-0.17387
9.5,9.0,10.0,4.5,0.16365,-0.16365
10.5,10.0,11.0,4.1931,0.15068,-0.15068
11.5,11.0,12.0,3.7815,0.13625,-0.13625
12.5,12.0,13.0,3.4169,0.12324,-0.12324
13.5,13.0,14.0,3.1826,0.11323,-0.11323
15.0,14.0,16.0,2.958,0.10222,-0.10222
17.0,16.0,18.0,2.5547,0.085835,-0.085835
19.0,18.0,20.0,2.1683,0.071661,-0.071661
21.0,20.0,22.0,2.0136,0.065616,-0.065616
23.5,22.0,25.0,1.6938,0.054103,-0.054103
26.5,25.0,28.0,1.4273,0.044383,-0.044383
30.0,28.0,32.0,1.1592,0.035215,-0.035215
34.5,32.0,37.0,0.91055,0.027301,-0.027301
