#: table_doi: 10.17182/hepdata.19900.v1/t1
#: name: Table 1
#: description: No description provided.
#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> W- X | PBAR P --> W+ X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | W Production
#: keyword cmenergies: 1800.0
#: RE,PBAR P --> W+ X + CC
#: SQRT(S) [GeV],1800.0,,,,
PT [GEV],D(SIG)/D(PT) [PB/GEV],stat +,stat -,sys +,sys -
1.0,694.0,75.0,-75.0,451.0,-451.0
3.0,1562.0,102.0,-102.0,677.0,-677.0
5.0,1419.0,84.0,-84.0,382.0,-382.0
7.0,1084.0,68.0,-68.0,219.0,-219.0
9.0,963.0,61.0,-61.0,196.0,-196.0
11.0,762.0,54.0,-54.0,173.0,-173.0
13.0,684.0,51.0,-51.0,164.0,-164.0
15.0,521.0,45.0,-45.0,122.0,-122.0
17.0,451.0,43.0,-43.0,104.0,-104.0
19.0,388.0,40.0,-40.0,86.0,-86.0
22.5,291.0,22.0,-22.0,65.0,-65.0
27.5,154.0,16.0,-16.0,33.0,-33.0
32.5,115.0,14.0,-14.0,24.0,-24.0
37.5,61.1,9.9,-9.9,12.8,-12.8
42.5,51.5,9.2,-9.2,10.6,-10.6
47.5,40.4,8.1,-8.1,8.3,-8.3
54.7,19.6,4.0,-4.0,4.4,-4.4
68.9,7.3,1.7,-1.7,2.1,-2.1
99.6,1.18,0.41,-0.41,0.55,-0.55
151.2,0.44,0.24,-0.24,0.15,-0.15

