#: table_doi: 10.17182/hepdata.42166.v1/t1
#: name: Table 1
#: description: The first error is statistical, the first systematic (DSYS) error is the uncertainty in the background and efficiencies, the second is the systematic errorin the detector modelling.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> W- X | PBAR P --> W+ X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | W Production
#: keyword cmenergies: 1800.0
#: RE,,,PBAR P --> W+ <E+ NU> X + CC
#: SQRT(S) [GeV],,,1800.0,,,,,,
PT(P=3) [GEV],PT(P=3) [GEV] LOW,PT(P=3) [GEV] HIGH,(1/N)*D(N)/DPT [TEV**-1],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
1.2,0.0,2.0,37.4,1.6,-1.6,1.9,-1.9,6.1,-6.1
3.0,2.0,4.0,90.8,2.6,-2.6,4.6,-4.6,7.9,-7.9
5.0,4.0,6.0,92.4,2.6,-2.6,4.8,-4.8,4.4,-4.4
7.0,6.0,8.0,74.2,2.3,-2.3,3.9,-3.9,3.7,-3.7
9.0,8.0,10.0,53.0,1.9,-1.9,2.8,-2.8,2.6,-2.6
11.0,10.0,12.0,31.8,1.5,-1.5,1.7,-1.7,2.0,-2.0
13.0,12.0,14.0,27.2,1.4,-1.4,1.4,-1.4,1.6,-1.6
15.1,14.0,16.0,16.8,1.1,-1.1,1.1,-1.1,1.2,-1.2
17.1,16.0,18.0,13.6,1.0,-1.0,0.8,-0.8,0.8,-0.8
19.0,18.0,20.0,12.4,0.9,-0.9,0.7,-0.7,0.9,-0.9
22.6,20.0,25.0,7.43,0.46,-0.46,0.42,-0.42,0.65,-0.65
27.3,25.0,30.0,4.29,0.34,-0.34,0.3,-0.3,0.43,-0.43
32.3,30.0,35.0,2.45,0.25,-0.25,0.22,-0.22,0.26,-0.26
37.2,35.0,40.0,1.67,0.2,-0.2,0.19,-0.19,0.18,-0.18
44.2,40.0,50.0,0.875,0.099,-0.099,0.147,-0.147,0.15,-0.15
57.7,50.0,70.0,0.333,0.037,-0.037,0.144,-0.144,0.045,-0.045
78.0,70.0,90.0,0.186,0.028,-0.028,0.066,-0.066,0.02,-0.02
100.7,90.0,120.0,0.052,0.011,-0.011,0.035,-0.035,0.01,-0.01
133.2,120.0,150.0,0.025,0.008,-0.008,0.009,-0.009,0.002,-0.002
172.7,150.0,200.0,0.011,0.005,-0.005,0.002,-0.002,0.001,-0.001

