#: table_doi: 10.17182/hepdata.55457.v1/t1
#: name: Table 1
#: description: Normalized differential cross section.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> Z0 X | PBAR P --> GAMMA* X | PBAR P --> MU+ MU- X
#: keyword observables: DSIG/DPT
#: keyword plabs: 2047761,2047761
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Di-Muon Production | Z Production | Muon production
#: keyword cmenergies: 1960.0
#: RE,,,PBAR P --> Z0 < MU+ MU- > X + GAMMA* < MU+ MU- > X
#: SQRT(S) [GeV],,,1960.0
PT(P=3) [GEV],PT(P=3) [GEV] LOW,PT(P=3) [GEV] HIGH,(1/SIG)/D(SIG)/DPT [GEV**-1],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -
1.5,0.0,4.0,0.0613,0.0007,-0.0007,0.1%,-0.1%,-7.2%,7.2%,1.4%,-1.4%,1.1%,-1.1%
5.9,4.0,8.0,0.0627,0.0006,-0.0006,0.1%,-0.1%,-1.5%,1.5%,0.6%,-0.6%,1.2%,-1.2%
9.9,8.0,12.0,0.0384,0.0005,-0.0005,0.1%,-0.1%,4.3%,-4.3%,1.1%,-1.1%,1.3%,-1.3%
14.0,12.0,16.0,0.025,0.0003,-0.0003,0.1%,-0.1%,5.9%,-5.9%,0.7%,-0.7%,1.1%,-1.1%
19.0,16.0,23.0,0.0143,0.0002,-0.0002,0.1%,-0.1%,5.4%,-5.4%,0.6%,-0.6%,1.1%,-1.1%
27.0,23.0,32.0,0.00704,0.00011,-0.00011,0.1%,-0.1%,4.2%,-4.2%,0.8%,-0.8%,1.1%,-1.1%
38.0,32.0,45.0,0.00332,6e-05,-6e-05,0.1%,-0.1%,2.7%,-2.7%,1.1%,-1.1%,1.1%,-1.1%
52.0,45.0,60.0,0.0015,4e-05,-4e-05,0.2%,-0.2%,1.4%,-1.4%,1.6%,-1.6%,1.1%,-1.1%
69.0,60.0,80.0,0.000611,2.3e-05,-2.3e-05,0.3%,-0.3%,0.2%,-0.2%,2.3%,-2.3%,1.1%,-1.1%
93.0,80.0,110.0,0.000203,1.2e-05,-1.2e-05,0.6%,-0.6%,-0.6%,0.6%,2.7%,-2.7%,1.6%,-1.6%
130.0,110.0,150.0,5.3e-05,5.8e-06,-5.8e-06,1.1%,-1.1%,-1.2%,1.2%,3.3%,-3.3%,2.2%,-2.2%
170.0,150.0,200.0,1.16e-05,2.4e-06,-2.4e-06,1.4%,-1.4%,-1.7%,1.7%,3.7%,-3.7%,2.4%,-2.4%
240.0,200.0,330.0,1.23e-06,5.2e-07,-5.2e-07,2.7%,-2.7%,-2.1%,2.1%,4.1%,-4.1%,2.6%,-2.6%

