x	Q2	A1p	sigA1p	A1d	sigA1d													
0.075	1.000	0.127	0.001	0.018	0.001													
0.125	1.000	0.184	0.004	0.046	0.005													
0.075	1.194	0.133	0.001	0.022	0.001													
0.125	1.194	0.193	0.002	0.050	0.002													
0.175	1.194	0.247	0.004	0.082	0.005													
0.125	1.425	0.200	0.001	0.054	0.002													
0.175	1.425	0.255	0.002	0.087	0.003													
0.225	1.425	0.308	0.003	0.123	0.005													
0.275	1.425	0.359	0.006	0.163	0.008													
0.125	1.701	0.206	0.001	0.058	0.001													
0.175	1.701	0.263	0.002	0.091	0.002													
0.225	1.701	0.316	0.003	0.128	0.004													
0.275	1.701	0.368	0.004	0.167	0.005													
0.325	1.701	0.418	0.006	0.211	0.008													
0.175	2.031	0.270	0.001	0.095	0.002													
0.225	2.031	0.324	0.002	0.132	0.003													
0.275	2.031	0.376	0.003	0.171	0.004													
0.325	2.031	0.426	0.005	0.214	0.006													
0.375	2.031	0.475	0.007	0.261	0.009													
0.175	2.424	0.276	0.001	0.098	0.002													
0.225	2.424	0.330	0.002	0.135	0.003													
0.275	2.424	0.382	0.003	0.175	0.004													
0.325	2.424	0.433	0.004	0.218	0.005													
0.375	2.424	0.481	0.005	0.264	0.007													
0.425	2.424	0.504	0.008	0.290	0.011													
0.225	2.894	0.336	0.002	0.138	0.002													
0.275	2.894	0.388	0.002	0.178	0.003													
0.325	2.894	0.438	0.003	0.221	0.005													
0.375	2.894	0.487	0.005	0.267	0.006													
0.425	2.894	0.535	0.006	0.315	0.008													
0.475	2.894	0.542	0.009	0.327	0.013													
0.225	3.455	0.341	0.001	0.141	0.002													
0.275	3.455	0.393	0.002	0.181	0.003													
0.325	3.455	0.444	0.003	0.224	0.004													
0.375	3.455	0.492	0.004	0.269	0.005													
0.425	3.455	0.540	0.005	0.317	0.007													
0.475	3.455	0.586	0.007	0.368	0.009													
0.525	3.455	0.589	0.013	0.373	0.017													
0.275	4.125	0.398	0.002	0.184	0.002													
0.325	4.125	0.448	0.002	0.226	0.003													
0.375	4.125	0.497	0.003	0.272	0.005													
0.425	4.125	0.544	0.004	0.319	0.006													
0.475	4.125	0.590	0.006	0.370	0.008													
0.525	4.125	0.635	0.008	0.422	0.011													
0.325	4.924	0.452	0.002	0.229	0.003													
0.375	4.924	0.501	0.003	0.274	0.004													
0.425	4.924	0.548	0.004	0.321	0.005													
0.475	4.924	0.593	0.005	0.371	0.007													
0.525	4.924	0.638	0.007	0.423	0.010													
0.575	4.924	0.682	0.010	0.475	0.013													
0.375	5.878	0.504	0.003	0.276	0.004													
0.425	5.878	0.551	0.003	0.323	0.005													
0.475	5.878	0.596	0.005	0.373	0.006													
0.525	5.878	0.641	0.006	0.424	0.008													
0.575	5.878	0.684	0.008	0.476	0.011													
0.625	5.878	0.727	0.012	0.528	0.016													
0.475	7.017	0.599	0.004	0.374	0.005													
0.525	7.017	0.643	0.005	0.425	0.007													
0.575	7.017	0.686	0.007	0.476	0.010													
0.625	7.017	0.728	0.009	0.528	0.013													
0.675	7.017	0.771	0.014	0.581	0.019													
0.525	8.377	0.645	0.005	0.426	0.007													
0.575	8.377	0.687	0.006	0.477	0.008													
0.625	8.377	0.729	0.009	0.528	0.012													
0.675	8.377	0.770	0.011	0.579	0.015													
0.725	8.377	0.833	0.024	0.620	0.033													
0.675	10.000	0.771	0.010	0.579	0.014													
0.725	10.000	0.811	0.016	0.629	0.022													
0.775	10.000	0.849	0.036	0.678	0.049													
